record_id,field_id,date,state,district,crop,crop_variety,growth_stage,crop_age_days,area_acres,soil_type,soil_ph,nitrogen,phosphorus,potassium,soil_moisture,temperature,humidity,rainfall,rain_probability,wind_speed,leaf_wetness_hours,sunlight_hours,irrigation_level,previous_disease,previous_pest,disease_history,pest_history,ndvi,vegetation_health,disease,disease_probability,pest,pest_probability,severity,risk_score,risk_level,recommended_action,data_source
REC_07285,FIELD_096,2025-11-22,Karnataka,Belagavi,Soybean,MACS-1407,Pod Filling,72,10.6,Medium Black,6.36,23,20,39,83.9,33.4,84.8,8.5,0.6,11.2,13.0,5.2,Excessive,0,0,Low,Low,0.636,66.8,Soybean Anthracnose,0.7,None,0.15,LOW,36.3,MEDIUM,Apply Carbendazim 12% + Mancozeb 63% WP @ 2g/L,synthetic_training_data
REC_01997,FIELD_003,2026-07-10,Karnataka,Dharwad,Groundnut,JL-24,Flowering,56,1.2,Red Sandy Loam,6.52,59,29,15,50.1,26.8,33.2,0.7,0.5,17.1,1.6,6.7,Adequate,0,0,None,Low,0.784,94.7,None,0.2,None,0.15,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_03982,FIELD_084,2025-07-07,Karnataka,Kolar,Tomato,Vaibhav Fresh,Fruit Setting,69,13.1,Red Sandy,7.13,68,29,38,53.3,28.1,96.4,13.4,0.6,6.2,14.1,6.0,Adequate,1,0,High,None,0.34,37.5,Tomato Early Blight,0.98,Fruit and Shoot Borer,0.51,HIGH,96.1,CRITICAL,Apply Mancozeb 75 WP (2g/L); stake plants off moist soil,synthetic_training_data
REC_08721,FIELD_014,2025-12-22,Gujarat,Rajkot,Cotton,Bunny Bt,Seedling,21,8.4,Deep Clay,6.99,31,56,57,91.1,28.1,82.4,6.3,0.66,6.7,5.1,3.7,Excessive,0,0,Moderate,Low,0.632,78.8,Cotton Bacterial Blight,0.79,None,0.2,MEDIUM,39.8,MEDIUM,Spray Copper Oxychloride 50 WP (2.5g/L) + Streptocycline (1g/10L),synthetic_training_data
REC_02274,FIELD_072,2026-04-14,Uttar Pradesh,Varanasi,Rice,MTU-1010,Booting,86,10.0,Clay,6.51,95,30,57,62.7,34.3,68.3,0.0,0.02,6.0,2.2,10.4,Rainfed,0,0,Low,None,0.829,91.2,None,0.13,None,0.08,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_02819,FIELD_022,2026-03-10,Maharashtra,Kolhapur,Sugarcane,Co-0118,Germination,37,8.8,Deep Black,5.22,83,53,40,77.3,37.8,47.9,0.0,0.2,11.0,4.3,9.9,Adequate,0,0,Moderate,Low,0.788,86.5,None,0.08,None,0.05,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_00622,FIELD_063,2026-06-06,West Bengal,Burdwan,Rice,Swarna Medium,Heading,93,7.1,Clay Loam,6.39,75,26,63,60.7,21.3,92.2,20.6,0.59,20.9,12.6,4.1,Rainfed,1,0,High,None,0.474,48.2,Rice Blast,0.98,None,0.11,HIGH,75.2,CRITICAL,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_06432,FIELD_001,2025-08-16,Bihar,Khagaria,Maize,Pioneer-3396,Grain Fill,78,2.7,Loam,7.56,59,41,74,89.9,22.9,80.5,30.5,0.8,6.9,14.4,3.6,Deficit,0,0,Low,None,0.541,57.6,Northern Corn Leaf Blight,0.88,None,0.18,MEDIUM,58.4,HIGH,Apply Azoxystrobin + Difenoconazole; avoid sprinkler irrigation,synthetic_training_data
REC_05761,FIELD_062,2026-04-05,Maharashtra,Nashik,Tomato,Pusa Ruby,Vegetative,31,9.5,Red Sandy,6.42,88,38,46,83.3,21.4,97.4,48.2,0.96,9.5,14.0,2.6,Rainfed,0,0,Moderate,None,0.537,60.3,Tomato Late Blight,0.89,None,0.1,MEDIUM,56.9,HIGH,Apply Metalaxyl + Mancozeb preventively; rogue out infected plants,synthetic_training_data
REC_02319,FIELD_032,2025-09-20,Haryana,Karnal,Rice,IR-64 High-Yield,Booting,85,14.0,Clay Loam,6.65,66,68,46,84.4,24.5,87.6,48.7,0.85,5.8,12.3,4.4,Rainfed,0,1,Low,High,0.554,56.0,Rice Blast,0.89,None,0.18,HIGH,61.8,HIGH,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_05106,FIELD_098,2025-12-23,Uttar Pradesh,Varanasi,Rice,IR-64 High-Yield,Heading,96,11.6,Alluvial,7.13,57,47,48,73.1,20.5,30.8,0.0,0.03,5.3,4.5,7.6,Adequate,0,0,Moderate,Low,0.751,85.0,Rice Blast,0.38,None,0.02,LOW,17.6,LOW,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_03042,FIELD_012,2025-07-08,Karnataka,Mandya,Sugarcane,Co-0238 Champion,Tillering,80,9.2,Deep Black,7.74,53,54,27,72.0,27.6,40.2,0.0,0.1,5.0,1.0,7.8,Adequate,0,1,Moderate,High,0.688,76.9,None,0.21,Shoot Borer,0.74,MEDIUM,39.4,MEDIUM,Earthing up at 45 DAP; release Trichogramma chilonis egg parasitoids,synthetic_training_data
REC_04817,FIELD_038,2026-05-26,Andhra Pradesh,Chittoor,Tomato,Arka Rakshak,Flowering,55,9.7,Red Sandy,6.62,57,32,69,50.3,24.5,60.4,0.0,0.05,5.4,4.6,7.5,Adequate,0,0,Low,Moderate,0.743,80.4,Tomato Early Blight,0.69,None,0.03,MEDIUM,34.4,MEDIUM,Apply Mancozeb 75 WP (2g/L); stake plants off moist soil,synthetic_training_data
REC_08040,FIELD_073,2025-06-08,Gujarat,Rajkot,Cotton,Bunny Bt,Boll Formation,96,13.8,Deep Clay,6.72,48,34,50,24.7,31.0,76.3,0.0,0.24,9.4,0.1,9.1,Deficit,0,1,Low,High,0.527,54.8,Cotton Bacterial Blight,0.56,Pink Bollworm,0.96,MEDIUM,72.0,HIGH,Spray Copper Oxychloride 50 WP (2.5g/L) + Streptocycline (1g/10L) Also Install 5-8 pheromone traps/acre; spray Flubendiamide 39.35 SC,synthetic_training_data
REC_08477,FIELD_090,2026-02-19,Madhya Pradesh,Sehore,Wheat,HD-2967 Prime,Heading,75,4.6,Clay Loam,6.83,88,39,31,27.9,20.7,50.7,0.0,0.33,25.5,1.1,10.2,Deficit,1,1,High,High,0.432,49.7,Wheat Powdery Mildew,0.85,Aphids,0.96,HIGH,98.5,CRITICAL,Apply Wettable Sulfur (0.2%) or Hexaconazole 5 EC Also Spray Thiamethoxam 25 WG @ 0.3g/L or 5% neem extract,synthetic_training_data
REC_03211,FIELD_041,2026-05-01,Madhya Pradesh,Sehore,Wheat,WH-1105,Maturity,115,5.1,Loam,6.89,49,10,19,57.8,22.4,57.9,0.0,0.35,8.7,4.5,6.9,Rainfed,0,1,None,High,0.622,72.5,Wheat Brown Rust,0.76,None,0.09,LOW,40.8,MEDIUM,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_07548,FIELD_019,2026-02-26,Karnataka,Davanagere,Maize,PAC-751,Seedling,15,10.2,Alluvial,6.15,79,59,66,50.4,26.4,64.5,3.3,0.43,23.7,1.3,6.3,Deficit,0,0,Moderate,Low,0.842,87.4,None,0.14,None,0.16,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09491,FIELD_034,2026-03-28,Gujarat,Bharuch,Pigeon Pea,Asha ICPL-87119,Pod Setting,120,7.4,Loam,6.14,76,48,37,80.0,24.1,90.4,41.0,0.58,21.3,11.6,3.8,Excessive,0,0,Moderate,Moderate,0.742,74.6,Chickpea Fusarium Wilt,0.71,None,0.08,MEDIUM,47.5,MEDIUM,Crop rotation with sorghum; soil application of Trichoderma,synthetic_training_data
REC_06117,FIELD_067,2026-02-08,Haryana,Hisar,Wheat,DBW-187,Heading,79,14.1,Clay Loam,7.56,21,35,59,82.5,21.1,57.9,2.4,0.54,23.6,3.1,6.1,Excessive,1,0,High,Moderate,0.484,27.0,Wheat Powdery Mildew,0.88,Aphids,0.8,HIGH,84.5,CRITICAL,Apply Wettable Sulfur (0.2%) or Hexaconazole 5 EC Also Spray Thiamethoxam 25 WG @ 0.3g/L or 5% neem extract,synthetic_training_data
REC_05051,FIELD_054,2025-09-24,Madhya Pradesh,Ujjain,Soybean,JS-9560 Early,Emergence,15,12.6,Clay Loam,7.87,90,40,49,83.8,28.8,96.6,50.1,0.56,10.6,7.9,5.5,Rainfed,0,1,Low,High,0.61,62.9,Soybean Anthracnose,0.79,None,0.14,MEDIUM,63.1,HIGH,Apply Carbendazim 12% + Mancozeb 63% WP @ 2g/L,synthetic_training_data
REC_03794,FIELD_080,2026-03-30,Punjab,Abohar,Citrus,Mosambi,Maturity,259,6.2,Medium Black,7.05,81,44,40,73.7,32.1,61.3,2.8,0.48,14.8,1.0,8.7,Rainfed,1,0,High,Low,0.512,57.2,Citrus Canker,0.87,None,0.07,HIGH,57.1,HIGH,Prune cankered twigs; spray Copper Oxychloride 50 WP + Streptocycline,synthetic_training_data
REC_04196,FIELD_060,2026-04-09,Rajasthan,Kota,Soybean,JS-335 Standard,Flowering,50,14.6,Medium Black,5.51,78,41,53,89.5,33.1,91.8,46.9,0.63,13.4,15.5,5.0,Excessive,1,1,High,High,0.336,51.0,Soybean Anthracnose,0.98,Spodoptera Armyworm,0.78,HIGH,98.5,CRITICAL,Apply Carbendazim 12% + Mancozeb 63% WP @ 2g/L Also Deploy Spodolure pheromone traps; spray Novaluron 10 EC,synthetic_training_data
REC_05115,FIELD_003,2025-12-13,Andhra Pradesh,Chittoor,Tomato,Abhinav Hybrid,Vegetative,25,11.8,Loam,6.41,71,57,32,65.8,30.1,67.4,2.7,0.44,27.6,2.6,6.9,Rainfed,0,1,Moderate,High,0.516,32.0,Tomato Leaf Curl,0.8,Whiteflies,0.96,HIGH,85.6,CRITICAL,Manage whitefly vectors with yellow traps and Imidacloprid 17.8 SL Also Install yellow sticky cards; spray NSKE 5% neem extract,synthetic_training_data
REC_02257,FIELD_020,2025-12-18,Telangana,Nizamabad,Maize,Bio-9681,Silking,69,11.4,Sandy Loam,7.45,98,11,59,94.6,30.6,77.6,40.0,0.99,23.1,8.1,6.3,Excessive,0,0,Moderate,Low,0.779,90.8,None,0.18,None,0.12,LOW,18.2,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_08860,FIELD_005,2025-07-01,Uttar Pradesh,Agra,Potato,Kufri Jyoti,Haulm Senescence,100,12.5,Sandy Loam,7.32,102,45,68,81.4,27.0,95.6,27.9,0.79,15.9,6.4,2.8,Excessive,0,1,Moderate,High,0.607,52.6,Potato Black Scurf,0.75,None,0.06,MEDIUM,58.9,HIGH,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
REC_04266,FIELD_035,2026-07-09,Rajasthan,Kota,Soybean,JS-335 Standard,Maturity,99,7.1,Black Cotton Soil,6.51,43,46,58,73.1,30.9,60.4,0.0,0.09,27.9,1.3,9.8,Adequate,0,0,Moderate,Low,0.774,87.6,Soybean Anthracnose,0.49,None,0.06,LOW,20.1,LOW,Apply Carbendazim 12% + Mancozeb 63% WP @ 2g/L,synthetic_training_data
REC_01179,FIELD_038,2026-05-01,Rajasthan,Bikaner,Groundnut,JL-24,Seedling,13,3.0,Red Sandy Loam,7.15,62,11,54,80.5,27.0,88.9,41.6,0.98,5.5,5.5,5.4,Adequate,0,0,None,Low,0.731,77.3,Tikka Leaf Spot,0.76,None,0.19,MEDIUM,44.1,MEDIUM,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation,synthetic_training_data
REC_03774,FIELD_002,2025-08-01,Karnataka,Belagavi,Soybean,JS-335 Standard,Maturity,96,5.4,Medium Black,5.96,48,42,30,89.9,22.9,84.0,29.4,0.61,21.7,9.6,2.9,Deficit,1,1,High,High,0.518,45.8,Soybean Rust,0.98,None,0.03,HIGH,83.1,CRITICAL,Spray Hexaconazole 5% EC @ 2ml/L to lower canopy surfaces,synthetic_training_data
REC_03999,FIELD_066,2025-08-01,Madhya Pradesh,Indore,Tomato,Vaibhav Fresh,Fruit Setting,79,11.1,Loam,6.1,62,42,35,87.6,26.5,53.0,0.0,0.12,5.1,4.4,8.0,Excessive,0,0,Low,Moderate,0.664,71.7,Tomato Early Blight,0.69,Fruit and Shoot Borer,0.53,LOW,51.1,MEDIUM,Apply Mancozeb 75 WP (2g/L); stake plants off moist soil,synthetic_training_data
REC_04426,FIELD_024,2026-03-30,Telangana,Warangal,Rice,IR-64 High-Yield,Tillering,50,10.6,Alluvial,7.67,66,53,43,73.7,26.0,51.4,0.0,0.27,4.1,0.2,7.5,Adequate,0,0,Low,Moderate,0.798,93.5,None,0.18,Yellow Stem Borer,0.51,LOW,22.3,LOW,Apply Cartap hydrochloride 4G; install light traps,synthetic_training_data
REC_09484,FIELD_065,2025-11-09,Punjab,Patiala,Wheat,WH-1105,Heading,83,10.1,Loam,6.49,99,52,53,89.8,18.5,63.2,0.0,0.06,12.8,4.1,8.3,Excessive,0,0,None,Low,0.612,62.5,Wheat Powdery Mildew,0.83,Aphids,0.75,MEDIUM,70.2,HIGH,Apply Wettable Sulfur (0.2%) or Hexaconazole 5 EC Also Spray Thiamethoxam 25 WG @ 0.3g/L or 5% neem extract,synthetic_training_data
REC_02087,FIELD_069,2025-07-30,Madhya Pradesh,Vidisha,Chickpea,Pusa-362,Pod Development,82,14.3,Black Soil,6.68,107,58,25,55.7,25.8,76.1,3.7,0.42,17.6,0.8,9.9,Deficit,0,1,None,High,0.682,68.2,Chickpea Fusarium Wilt,0.8,None,0.08,LOW,43.4,MEDIUM,Seed dress with Trichoderma viride; sow wilt-resistant cultivars,synthetic_training_data
REC_09174,FIELD_099,2025-06-01,Uttar Pradesh,Meerut,Wheat,Sharbati Gold,Jointing,63,4.9,Loam,6.75,64,43,43,94.9,25.6,96.0,20.9,0.78,4.2,7.9,5.3,Excessive,0,1,None,High,0.534,56.2,Wheat Brown Rust,0.74,None,0.06,HIGH,61.8,HIGH,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_01271,FIELD_024,2025-09-30,Bihar,Khagaria,Maize,Pioneer-3396,Knee High,33,1.2,Sandy Loam,6.11,77,21,35,94.6,24.3,79.0,38.1,0.6,15.2,8.6,5.4,Adequate,0,0,Low,Low,0.561,63.8,Northern Corn Leaf Blight,0.82,Fall Armyworm,0.51,MEDIUM,74.5,HIGH,Apply Azoxystrobin + Difenoconazole; avoid sprinkler irrigation,synthetic_training_data
REC_02444,FIELD_022,2025-07-12,Gujarat,Junagadh,Groundnut,Kadiri-6,Pod Development,84,5.8,Sandy Loam,7.33,69,43,20,95.0,27.0,56.0,0.0,0.31,16.7,0.7,6.3,Excessive,0,1,Low,High,0.399,33.2,Tikka Leaf Spot,0.51,Spodoptera Cutworm,0.9,HIGH,77.2,CRITICAL,Spray Carbendazim + Mancozeb @ 2g/L; avoid water stagnation Also Spray SlNPV @ 250 LE/ha or Emamectin Benzoate 5 SG,synthetic_training_data
REC_04406,FIELD_089,2025-07-14,Haryana,Karnal,Rice,IR-64 High-Yield,Heading,101,7.8,Clay Loam,7.29,43,20,65,61.7,24.5,64.5,0.0,0.1,21.3,1.3,8.8,Adequate,1,0,High,Moderate,0.748,76.0,Rice Blast,0.78,None,0.06,MEDIUM,51.7,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_05971,FIELD_080,2025-10-07,Rajasthan,Kota,Soybean,MACS-1407,Vegetative,25,13.5,Medium Black,7.27,27,30,45,34.5,32.8,54.1,0.0,0.16,10.5,0.0,10.8,Deficit,0,0,Moderate,Low,0.747,86.7,None,0.17,None,0.13,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_02730,FIELD_073,2026-01-10,Madhya Pradesh,Sehore,Wheat,DBW-187,Tillering,39,12.4,Alluvial,6.47,100,49,64,90.4,16.0,81.5,21.3,0.72,16.2,8.1,4.7,Excessive,0,1,Moderate,High,0.491,65.5,Wheat Yellow Rust,0.96,None,0.18,HIGH,61.1,HIGH,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
REC_05772,FIELD_030,2025-08-30,Karnataka,Kalaburagi,Pigeon Pea,Maruti ICP-8863,Flowering,98,12.3,Loam,6.27,103,52,41,53.3,29.4,46.0,1.5,0.46,18.8,3.0,9.8,Deficit,0,0,Low,Moderate,0.568,60.6,Chickpea Fusarium Wilt,0.77,Pod Borer,0.63,HIGH,56.1,HIGH,Crop rotation with sorghum; soil application of Trichoderma Also Install pheromone lures; spray Chlorantraniliprole 18.5 SC,synthetic_training_data
REC_09091,FIELD_006,2025-10-15,Karnataka,Dharwad,Groundnut,TMV-2,Pegging,69,6.1,Medium Black,7.24,29,31,50,80.7,33.5,35.1,3.8,0.49,13.3,0.6,7.1,Excessive,1,0,High,Low,0.644,75.0,Groundnut Collar Rot,0.69,None,0.08,MEDIUM,49.3,MEDIUM,Seed treatment with Trichoderma harzianum; avoid deep planting,synthetic_training_data
REC_00647,FIELD_091,2025-10-10,Gujarat,Junagadh,Groundnut,TAG-24 Early,Flowering,48,6.5,Medium Black,5.95,53,39,73,22.4,34.3,51.6,0.0,0.28,25.0,1.1,10.4,Deficit,0,1,None,High,0.651,75.2,None,0.12,Thrips,0.93,MEDIUM,49.0,MEDIUM,Install blue sticky traps; spray Spinosad 45 SC,synthetic_training_data
REC_08894,FIELD_071,2026-04-20,Madhya Pradesh,Sehore,Wheat,WH-1105,Maturity,134,8.5,Alluvial,7.35,67,55,31,82.5,26.3,68.8,0.0,0.07,14.0,0.3,9.2,Excessive,0,1,Moderate,High,0.829,83.2,None,0.13,None,0.13,LOW,11.6,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09516,FIELD_026,2025-06-09,Gujarat,Banaskantha,Potato,Kufri Pukhraj,Sprouting,13,14.3,Sandy Loam,7.29,54,38,66,83.5,21.0,76.2,0.0,0.11,27.9,0.0,9.7,Excessive,1,0,High,Moderate,0.497,66.6,Potato Black Scurf,0.93,None,0.12,MEDIUM,54.5,HIGH,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
REC_03674,FIELD_077,2025-08-13,Andhra Pradesh,Krishna,Rice,Basmati-Super,Tillering,38,1.8,Alluvial,6.48,51,32,31,54.0,22.1,45.7,1.0,0.5,22.7,1.3,10.5,Adequate,1,0,High,Low,0.698,72.2,Rice Blast,0.64,None,0.07,LOW,42.8,MEDIUM,Apply Tricyclazole 75 WP @ 0.6g/L; drain excess water,synthetic_training_data
REC_07059,FIELD_041,2025-09-04,Haryana,Hisar,Wheat,HD-2967 Prime,Maturity,122,11.7,Loam,7.42,79,26,58,79.0,12.9,95.9,47.8,0.65,27.6,11.5,4.4,Adequate,1,0,High,None,0.476,34.4,Wheat Yellow Rust,0.95,None,0.08,HIGH,77.0,CRITICAL,Foliar spray of Propiconazole 25 EC @ 1ml/L at first stripe sighting,synthetic_training_data
REC_05377,FIELD_049,2025-06-06,Maharashtra,Nashik,Tomato,Abhinav Hybrid,Seedling,25,13.0,Red Sandy,5.96,76,19,70,90.6,24.4,61.4,0.5,0.4,8.8,1.2,7.1,Excessive,0,1,None,High,0.623,68.8,Tomato Early Blight,0.49,None,0.18,LOW,36.0,MEDIUM,Apply Mancozeb 75 WP (2g/L); stake plants off moist soil,synthetic_training_data
REC_02251,FIELD_067,2026-02-26,Karnataka,Davanagere,Maize,Bio-9681,Knee High,23,11.7,Alluvial,6.65,54,46,39,80.7,28.0,92.0,12.2,0.83,6.1,6.4,2.1,Excessive,0,0,Moderate,None,0.875,92.1,Northern Corn Leaf Blight,0.62,None,0.14,LOW,29.3,LOW,Apply Azoxystrobin + Difenoconazole; avoid sprinkler irrigation,synthetic_training_data
REC_04579,FIELD_068,2025-10-13,Gujarat,Rajkot,Cotton,Suraj,Seedling,25,9.0,Deep Clay,5.87,66,34,26,82.4,27.3,92.7,43.8,0.94,11.1,9.1,4.1,Adequate,0,0,Moderate,Moderate,0.717,68.9,Cotton Bacterial Blight,0.7,None,0.02,LOW,42.6,MEDIUM,Spray Copper Oxychloride 50 WP (2.5g/L) + Streptocycline (1g/10L),synthetic_training_data
REC_09126,FIELD_036,2025-11-23,Telangana,Nizamabad,Maize,Bio-9681,Seedling,14,9.1,Loam,6.09,102,38,47,58.1,26.0,60.5,3.2,0.5,19.9,1.9,9.7,Deficit,0,1,Moderate,High,0.649,75.0,None,0.14,Aphids,0.54,MEDIUM,32.6,MEDIUM,Spray NSKE 5% or Thiamethoxam 25 WG @ 0.3g/L,synthetic_training_data
REC_08726,FIELD_072,2026-05-29,Punjab,Patiala,Wheat,Sharbati Gold,Milking,96,8.4,Alluvial,7.85,90,27,57,50.7,21.6,76.8,0.0,0.04,5.2,4.2,9.7,Rainfed,0,1,Moderate,High,0.741,74.6,Wheat Brown Rust,0.81,None,0.15,LOW,46.5,MEDIUM,Apply Tebuconazole 250 EC @ 1ml/L; monitor flag leaves,synthetic_training_data
REC_09636,FIELD_047,2025-08-08,Uttar Pradesh,Agra,Potato,Kufri Pukhraj,Haulm Senescence,100,1.5,Loam,7.99,58,57,68,87.5,24.1,75.2,26.7,0.79,9.0,10.0,5.6,Excessive,0,0,Low,Low,0.625,79.6,Potato Black Scurf,0.74,None,0.19,MEDIUM,39.6,MEDIUM,Tuber dip with Boric acid (3%) and practice earthing up,synthetic_training_data
REC_01613,FIELD_096,2026-06-19,Punjab,Jalandhar,Sugarcane,Co-0238 Champion,Grand Growth,196,5.7,Alluvial Loam,6.59,97,51,46,25.7,32.0,60.1,0.0,0.26,8.8,0.7,6.5,Deficit,0,0,Moderate,None,0.732,94.9,None,0.15,None,0.02,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
REC_09712,FIELD_020,2026-07-10,Karnataka,Kalaburagi,Pigeon Pea,Asha ICPL-87119,Maturity,142,5.8,Loam,5.75,71,53,39,51.1,28.0,62.5,1.3,0.41,13.8,4.7,8.4,Adequate,0,1,Low,High,0.737,76.0,Chickpea Fusarium Wilt,0.75,None,0.14,LOW,47.5,MEDIUM,Crop rotation with sorghum; soil application of Trichoderma,synthetic_training_data
REC_04989,FIELD_064,2026-03-13,Maharashtra,Aurangabad,Maize,ProAgro-4212,Grain Fill,92,11.3,Alluvial,7.02,81,40,47,84.8,25.2,79.8,53.6,0.98,8.1,6.1,6.1,Excessive,0,0,Low,Moderate,0.663,76.9,Northern Corn Leaf Blight,0.79,None,0.16,MEDIUM,46.3,MEDIUM,Apply Azoxystrobin + Difenoconazole; avoid sprinkler irrigation,synthetic_training_data
REC_01459,FIELD_034,2026-05-20,Haryana,Hisar,Wheat,Sharbati Gold,Milking,111,1.6,Loam,6.87,60,41,45,74.3,25.4,39.0,2.3,0.54,22.0,3.7,8.6,Adequate,0,1,Low,High,0.723,81.0,None,0.09,None,0.1,LOW,8.0,LOW,Maintain regular monitoring and standard agronomic hygiene.,synthetic_training_data
