crop,variety,location,field,date,growth_stage,temperature,humidity,rainfall,soil_moisture,crop_health_score,disease,disease_probability,pest,pest_probability,severity,risk_level,recommended_action
Potato,Kufri Bahar,Sector 1 - Northern Plains,Field-N-06,2026-08-16,Vegetative,24.0,74,5.0,60,82,None,0.12,None,0.08,Low,LOW,Hill up rows to 15cm and maintain furrow drainage
Cotton,RCH-659 Hybrid,Sector 2 - Central Plains,Field-C-01,2026-08-09,Boll Formation,32.5,78,16.5,66,54,Cotton Leaf Curl,0.45,Pink Bollworm,0.92,High,CRITICAL,Pheromone trap monitoring @ 5/acre and release egg parasitoids
Cotton,Bt-Cotton-II,Sector 4 - Southern Valley,Field-S-05,2026-08-13,Square Formation,33.0,68,6.0,52,72,Bacterial Blight,0.35,Thrips,0.74,Moderate,HIGH,Spray spinosad or neem formulation on lower leaf surfaces
Cotton,Bollgard-II,Sector 2 - Central Plains,Field-C-03,2026-08-21,Flowering,31.8,75,10.0,62,66,Bacterial Blight,0.52,Pink Bollworm,0.68,Moderate,HIGH,Install pheromone traps and spray 5% NSKE neem kernel extract
Maize,Pioneer-3396,Sector 3 - Eastern Basin,Field-E-02,2026-08-08,Silking,29.0,80,11.0,64,56,Maydis Leaf Blight,0.68,Fall Armyworm,0.88,High,CRITICAL,Apply emamectin benzoate 5 SG in whorl and push-pull intercropping
Maize,DKC-9108,Sector 4 - Southern Valley,Field-S-03,2026-08-17,Knee High,28.0,75,4.0,58,86,None,0.09,None,0.14,Low,LOW,"Standard weeding, avoid water stagnation, balanced potassium nutrition"
Groundnut,TAG-24 Early,Sector 5 - Western Belt,Field-W-01,2026-08-06,Pod Development,30.5,76,8.0,55,62,Tikka Leaf Spot,0.84,Spodoptera,0.50,Moderate,HIGH,Apply carbendazim plus mancozeb spray and avoid water stagnation
Groundnut,GG-20 Bold,Sector 5 - Western Belt,Field-W-03,2026-08-14,Flowering,29.8,72,4.5,50,78,None,0.14,Thrips,0.42,Mild,MODERATE,Install blue sticky traps and inspect lower foliage for bronzing
Sugarcane,Co-0238 Champion,Sector 1 - Northern Plains,Field-N-04,2026-08-19,Grand Growth,31.5,86,25.0,85,50,Red Rot,0.88,Shoot Borer,0.62,High,CRITICAL,Rogue out affected canes and drench root zones with Trichoderma viride
Sugarcane,Co-86032 Sweet,Sector 2 - Central Plains,Field-C-04,2026-08-22,Tillering,32.0,80,12.0,74,70,None,0.10,Early Shoot Borer,0.58,Moderate,HIGH,Apply granular chlorantraniliprole 0.4% GR in root furrow with light watering
Soybean,JS-335 Standard,Sector 2 - Central Plains,Field-C-06,2026-08-07,Pod Filling,27.8,84,15.0,72,59,Soybean Rust,0.79,Stem Fly,0.45,Moderate,HIGH,Spray hexaconazole 5% EC @ 2ml/L and inspect stem split for red tunneling
Soybean,JS-9560 Early,Sector 2 - Central Plains,Field-C-07,2026-08-16,Flowering,28.5,80,8.0,65,74,Anthracnose,0.48,Stem Borer,0.38,Moderate,MODERATE,Foliar spray of azoxystrobin 23% SC and check leaf veins for dark streaks
Pulses,Pusa-992 Mung,Sector 5 - Western Belt,Field-W-05,2026-08-04,Flowering,32.0,62,0.0,42,80,None,0.11,Pod Borer,0.60,Moderate,MODERATE,Install bird perches @ 20/acre and spray bio-pesticide HaNPV
Pigeon Pea,BDN-711 White,Sector 2 - Central Plains,Field-C-08,2026-08-12,Branching,30.2,74,12.0,60,76,Fusarium Wilt,0.32,Pod Fly,0.54,Moderate,MODERATE,Drench root zone with Trichoderma viride and set up sex pheromone lures
Pigeon Pea,Asha High-Yield,Sector 4 - Southern Valley,Field-S-04,2026-08-19,Pod Formation,29.0,78,16.0,68,58,Sterility Mosaic,0.64,Helicoverpa Borer,0.72,High,CRITICAL,"Rogue mosaic plants, control mite vector with fenazaquin, spray indoxacarb"
Citrus,Nagpur Mandarin,Sector 2 - Central Plains,Field-C-09,2026-08-11,Fruit Development,28.5,79,14.5,70,61,Citrus Gummosis,0.75,Citrus Psylla,0.52,Moderate,HIGH,"Scrape collar bark, apply Bordeaux paste 1:1:10, drench metalaxyl"
Citrus,Acid Lime Kagzi,Sector 4 - Southern Valley,Field-S-06,2026-08-15,Fruit Maturation,31.0,72,6.0,58,68,Citrus Canker,0.72,Leaf Miner,0.48,Moderate,HIGH,"Prune canker twigs, spray Copper Oxychloride @ 2.5g/L + Streptocycline 1g/10L"
Banana,Grand Naine G-9,Sector 4 - Southern Valley,Field-S-07,2026-08-13,Shooting Stage,30.0,86,20.0,82,55,Sigatoka Leaf Spot,0.85,Aphids,0.44,High,CRITICAL,"Deleaf severely affected leaves, spray propiconazole with mineral oil sticker"
Onion,Bhima Dark Red,Sector 5 - Western Belt,Field-W-06,2026-08-17,Bulb Development,29.0,76,5.0,62,67,Purple Blotch,0.78,Thrips,0.66,Moderate,HIGH,Spray mancozeb 75 WP @ 2.5g/L + sticker and install blue sticky traps
Chili,Pusa Jwala Spicy,Sector 4 - Southern Valley,Field-S-08,2026-08-18,Fruiting,31.2,74,7.0,59,62,Chili Leaf Curl (Gemini),0.82,Thrips & Mites,0.76,High,CRITICAL,"Control sucking pests with diafenthiuron 50 WP, rogue virus-stunted bushes"
Mustard,Pusa Bold,Sector 1 - Northern Plains,Field-N-07,2026-07-30,Siliqua Stage,24.0,70,1.0,52,78,White Rust,0.42,Mustard Aphid,0.68,Moderate,HIGH,Spray dimethoate 30 EC or neem oil 3ml/L early morning before bee foraging
Chickpea,JG-11 Desi,Sector 2 - Central Plains,Field-C-10,2026-08-08,Pod Development,26.5,60,0.0,45,75,Ascochyta Blight,0.30,Helicoverpa Pod Borer,0.62,Moderate,HIGH,Deploy bird perches @ 25/acre and spray chlorantraniliprole 18.5 SC at ETL
Eggplant,Pusa Purple Long,Sector 3 - Eastern Basin,Field-E-03,2026-08-14,Fruiting,29.5,82,10.0,68,57,Phomopsis Blight,0.62,Shoot and Fruit Borer,0.86,High,CRITICAL,"Clip affected shoots daily, destroy infested fruit, spray spinosad 45 SC"
Millet,Pearl Millet Hybrid,Sector 5 - Western Belt,Field-W-07,2026-08-20,Grain Filling,33.0,58,2.0,40,88,Downy Mildew,0.22,Shoot Fly,0.18,Low,LOW,Maintain clean field bunds and scout weekly for green ear symptoms
